,train_n_traj,train_return_min,train_return_mean,train_return_std,train_return_max,train_len_min,train_len_mean,train_len_std,train_len_max,train_success_min,train_success_mean,train_success_std,train_success_max,test_n_traj,test_return_min,test_return_mean,test_return_std,test_return_max,test_len_min,test_len_mean,test_len_std,test_len_max,test_success_min,test_success_mean,test_success_std,test_success_max,num_expert_demos
0,20,-30000.0,-29907.956534194946,207.9459155433295,-29290.874534606934,150,150.0,0.0,150,0.0,0.0,0.0,0.0,20,-0.39092863840050995,-0.39071190028917047,0.0001315769321793169,-0.3904950909782201,150,150.0,0.0,150,0.0,0.0,0.0,0.0,10
1,20,-30000.0,-27689.519201278687,7418.243105764824,4379.769432067871,36,144.3,24.84572397818184,150,0.0,0.05,0.21794494717703367,1.0,20,-0.3909084885381162,-0.3733807245735079,0.07550375648566453,-0.04426791472360492,19,143.45,28.550788080191413,150,0.0,0.05,0.21794494717703364,1.0,60
2,20,-30000.0,-26545.97552947998,9849.659163507085,4788.751106262207,33,139.2,32.524759799266775,150,0.0,0.1,0.30000000000000004,1.0,20,-0.39090153528377414,-0.37246857410063966,0.06426988524745439,-0.10163814597763121,41,143.2,24.171470786859455,150,0.0,0.1,0.30000000000000004,1.0,110
3,20,-30000.0,-26494.668201828004,9254.990846817045,5993.500946044922,25,141.25,28.80429655450728,150,0.0,0.1,0.30000000000000004,1.0,20,-0.39090934954583645,-0.3741625190479681,0.072090691144519,-0.05992693756707013,25,143.75,27.24311839712921,150,0.0,0.05,0.21794494717703364,1.0,160
4,20,-30000.0,-25274.06669769287,9523.14178305172,-462.3956756591797,64,138.85,27.072633783952387,150,0.0,0.15,0.3570714214271425,1.0,20,-0.39087152341380715,-0.3417176926275715,0.11686070665956479,-0.03646101849153638,16,131.5,44.153708790995125,150,0.0,0.15,0.3570714214271425,1.0,210
5,20,-30000.0,-29465.991566467284,575.6508695294488,-27734.207077026367,150,150.0,0.0,150,0.0,0.0,0.0,0.0,20,-0.39092863840050995,-0.39071190028917047,0.0001315769321793169,-0.3904950909782201,150,150.0,0.0,150,0.0,0.0,0.0,0.0,260
6,20,-30000.0,-29845.27000694275,254.2895128622283,-29160.210372924805,150,150.0,0.0,150,0.0,0.0,0.0,0.0,20,-0.39092863840050995,-0.39071190028917047,0.0001315769321793169,-0.3904950909782201,150,150.0,0.0,150,0.0,0.0,0.0,0.0,310
7,20,-30000.0,-21654.395167922972,12726.884215459591,4575.372261047363,33,126.4,41.43476800948691,150,0.0,0.25,0.4330127018922193,1.0,20,-0.3908546273596585,-0.3432811456732452,0.10506045903940214,-0.059928320813924074,25,132.2,39.6214588323045,150,0.0,0.2,0.4,1.0,360
8,20,-30000.0,-28612.87490463257,3843.801961836161,-12022.751792907715,120,148.5,6.5383484153110105,150,0.0,0.05,0.21794494717703364,1.0,20,-0.39090891904197633,-0.37377162895863875,0.0738019378538831,-0.05207688454538584,22,143.6,27.896953238660313,150,0.0,0.05,0.21794494717703367,1.0,410
9,20,-30000.0,-27680.88454284668,5890.092182915433,-7824.012634277344,98,145.85,12.885165889502547,150,0.0,0.1,0.30000000000000004,1.0,20,-0.3909075288102031,-0.37233842168934644,0.07540090487159896,-0.044272979255765676,19,143.15,28.511883487416263,150,0.0,0.1,0.30000000000000004,1.0,460
10,20,-30000.0,-28621.320383834838,4083.4494185628578,-10987.846801757812,112,148.1,8.28190799272728,150,0.0,0.05,0.21794494717703364,1.0,20,-0.39090459956787527,-0.369992808799725,0.06049220229114021,-0.12760954978875816,51,142.35,22.639070210589484,150,0.0,0.15,0.3570714214271425,1.0,510
11,20,-30000.0,-23692.340071487426,12930.403572640318,6196.394813537598,24,130.1,43.09860786614807,150,0.0,0.2,0.4000000000000001,1.0,20,-0.390909930691123,-0.37468373763840646,0.0698324623411773,-0.07029155711643398,29,143.95,26.371338608421077,150,0.0,0.05,0.21794494717703364,1.0,560
12,20,-30000.0,-28990.352886581422,1279.520266188656,-25783.789611816406,150,150.0,0.0,150,0.0,0.0,0.0,0.0,20,-0.39092863840050995,-0.39071190028917047,0.0001315769321793169,-0.3904950909782201,150,150.0,0.0,150,0.0,0.0,0.0,0.0,610
13,20,-30000.0,-30000.0,0.0,-30000.0,150,150.0,0.0,150,0.0,0.0,0.0,0.0,20,-0.39092863840050995,-0.39071190028917047,0.0001315769321793169,-0.3904950909782201,150,150.0,0.0,150,0.0,0.0,0.0,0.0,660
14,20,-30000.0,-26593.79098777771,9192.069723989038,2898.433937072754,44,140.3,29.238844026397487,150,0.0,0.1,0.30000000000000004,1.0,20,-0.39092863840050995,-0.39071190028917047,0.0001315769321793169,-0.3904950909782201,150,150.0,0.0,150,0.0,0.0,0.0,0.0,710
15,20,-30000.0,-21576.008096694946,12762.843676172612,6989.019439697266,21,127.75,40.465880689786054,150,0.0,0.3,0.45825756949558394,1.0,20,-0.3908727462403476,-0.3458873209776357,0.10597011208426163,-0.0546725217718631,23,133.3,40.053838767339144,150,0.0,0.25,0.4330127018922193,1.0,760
16,20,-30000.0,-28284.814782333375,7402.364290619905,3979.880615234375,34,144.2,25.281613872535907,150,0.0,0.05,0.21794494717703367,1.0,20,-0.3909077770076692,-0.3727292511961423,0.07834296290462194,-0.031240606913343072,14,143.2,29.640512816076583,150,0.0,0.05,0.21794494717703364,1.0,810
17,20,-30000.0,-28850.47063217163,2673.976768249255,-18287.78574371338,148,149.9,0.43588989435406733,150,0.0,0.05,0.21794494717703364,1.0,20,-0.3909089316148311,-0.3736413864651695,0.06808500228301874,-0.07811546977609396,32,143.65,25.689054089241978,150,0.0,0.1,0.30000000000000004,1.0,860
18,20,-30000.0,-22140.069485473632,13227.972497885814,4289.721717834473,35,125.85,42.345336224902034,150,0.0,0.25,0.4330127018922193,1.0,20,-0.3908879798837006,-0.3560502478503622,0.08511452373030703,-0.09633127646520734,39,137.0,31.9859344087366,150,0.0,0.15,0.3570714214271425,1.0,910
19,20,-30000.0,-26783.551929092406,7766.835123777254,460.22425079345703,56,142.95,22.41757123329822,150,0.0,0.1,0.30000000000000004,1.0,20,-0.390893577830866,-0.3607411420322023,0.09003878711219213,-0.07295151916332543,30,138.7,33.9721945125716,150,0.0,0.1,0.30000000000000004,1.0,960
